week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score,max_future_prob,future_depth_ge55,future_depth_ge60
17,2025-12-25,DAL,WSH,Away,1:00 PM,4,False,False,False,Medium,0.6644,,,False,False,False,,0.5315,0.495,0,0
18,2026-01-04,DAL,NYG,Away,1:00 PM,10,False,False,False,Low,0.495,,,False,False,False,,0.396,0.0,0,0
1,2025-09-07,DEN,TEN,Home,4:05 PM,7,False,False,False,Medium,0.7959,,,False,False,False,,0.6867,0.7727,9,5
2,2025-09-14,DEN,IND,Away,4:05 PM,7,False,False,False,Low,0.3937,,,False,False,False,,0.315,0.7727,9,5
3,2025-09-21,DEN,LAC,Away,4:05 PM,7,False,False,False,Low,0.5745,,,False,False,False,,0.4596,0.7727,8,5
4,2025-09-29,DEN,CIN,Home,8:15 PM,8,False,False,False,Low,0.4673,,,False,False,False,,0.4238,0.7727,8,5
5,2025-10-05,DEN,PHI,Away,1:00 PM,6,False,False,False,Medium,0.6721,,,False,False,False,,0.5377,0.7727,7,4
6,2025-10-12,DEN,NYJ,Away,9:30 AM,7,False,False,False,Low,0.2985,,,False,False,False,,0.2388,0.7727,7,4
7,2025-10-19,DEN,NYG,Home,4:05 PM,7,False,False,False,Medium,0.7727,,,False,False,False,,0.6682,0.7041,6,3
8,2025-10-26,DEN,DAL,Home,4:25 PM,7,False,False,False,Low,0.3571,,,False,False,False,,0.3357,0.7041,6,3
9,2025-11-02,DEN,HOU,Away,1:00 PM,7,False,False,False,Low,0.5,,,False,False,False,,0.4,0.7041,6,3
10,2025-11-06,DEN,LV,Home,8:15 PM,4,False,False,False,Low,0.4,,,False,False,False,,0.37,0.7041,6,3
11,2025-11-16,DEN,KC,Home,4:25 PM,10,False,False,False,Medium,0.6855,,,False,False,False,,0.5984,0.7041,5,2
13,2025-11-30,DEN,WSH,Away,8:20 PM,14,False,False,False,Low,0.5745,,,False,False,False,,0.4596,0.7041,4,2
14,2025-12-07,DEN,LV,Away,4:05 PM,7,False,False,False,Low,0.4,,,False,False,False,,0.32,0.7041,4,2
15,2025-12-14,DEN,GB,Home,4:25 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.7041,3,2
16,2025-12-21,DEN,JAX,Home,4:05 PM,7,False,False,False,Medium,0.7041,,,False,False,False,,0.6133,0.6855,2,1
17,2025-12-25,DEN,KC,Away,8:15 PM,4,False,False,False,Medium,0.6855,,,False,False,False,,0.5484,0.5745,1,0
18,2026-01-04,DEN,LAC,Home,1:00 PM,10,False,False,False,Medium,0.5745,,,False,False,False,,0.5096,0.0,0,0
1,2025-09-07,DET,GB,Away,4:25 PM,7,False,False,False,Low,0.6078,,,False,False,False,,0.4862,0.8039,9,6
2,2025-09-14,DET,CHI,Home,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.8039,8,6
3,2025-09-22,DET,BAL,Away,8:15 PM,8,False,False,False,Low,0.3846,,,False,False,False,,0.3077,0.8039,8,6
4,2025-09-28,DET,CLE,Home,1:00 PM,6,False,False,False,Low,0.2041,,,False,False,False,,0.2133,0.8039,8,6
5,2025-10-05,DET,CIN,Away,4:25 PM,7,False,False,False,Low,0.5495,,,False,False,False,,0.4396,0.8039,8,6
6,2025-10-12,DET,KC,Away,8:20 PM,7,False,False,False,Low,0.6078,,,False,False,False,,0.4862,0.8039,7,5
7,2025-10-20,DET,TB,Home,7:00 PM,8,False,False,False,Medium,0.6644,,,False,False,False,,0.5815,0.8039,6,4
9,2025-11-02,DET,MIN,Home,1:00 PM,13,False,False,False,Low,0.4673,,,False,False,False,,0.4238,0.8039,6,4
10,2025-11-09,DET,WSH,Away,4:25 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.8039,5,4
11,2025-11-16,DET,PHI,Away,8:20 PM,7,False,False,False,Medium,0.6575,,,False,False,False,,0.526,0.8039,4,3
12,2025-11-23,DET,NYG,Home,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6931,0.7207,3,2
13,2025-11-27,DET,GB,Home,1:00 PM,4,False,False,False,Medium,0.6078,,,False,False,False,,0.5362,0.7207,2,1
14,2025-12-04,DET,DAL,Home,8:15 PM,7,False,False,False,Low,0.3175,,,False,False,False,,0.304,0.7207,2,1
15,2025-12-14,DET,LAR,Away,4:25 PM,10,False,False,False,Low,0.495,,,False,False,False,,0.396,0.7207,2,1
16,2025-12-21,DET,PIT,Home,4:25 PM,7,False,False,False,Medium,0.7207,,,False,False,False,,0.6266,0.5556,1,0
17,2025-12-25,DET,MIN,Away,4:30 PM,4,False,False,False,Low,0.4673,,,False,False,False,,0.3738,0.5556,1,0
18,2026-01-04,DET,CHI,Away,1:00 PM,10,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.0,0,0
1,2025-09-07,GB,DET,Home,4:25 PM,7,False,False,False,Low,0.4348,,,False,False,False,,0.3978,0.726,6,1
2,2025-09-11,GB,WSH,Home,8:15 PM,4,False,False,False,Medium,0.5868,,,False,False,False,,0.5194,0.726,5,1
3,2025-09-21,GB,CLE,Away,1:00 PM,10,False,False,False,Medium,0.726,,,False,False,False,,0.5808,0.5556,4,0
4,2025-09-28,GB,DAL,Away,8:20 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.5556,3,0
6,2025-10-12,GB,CIN,Home,4:25 PM,14,False,False,False,Low,0.4237,,,False,False,False,,0.439,0.5556,3,0
7,2025-10-19,GB,ARI,Away,4:25 PM,7,False,False,False,Low,0.5495,,,False,False,False,,0.4396,0.5556,3,0
8,2025-10-26,GB,PIT,Away,8:20 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.5556,3,0
9,2025-11-02,GB,CAR,Home,1:00 PM,7,False,False,False,Low,0.2597,,,False,False,False,,0.2578,0.5556,3,0
10,2025-11-10,GB,PHI,Home,8:15 PM,8,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.5556,3,0
11,2025-11-16,GB,NYG,Away,1:00 PM,6,False,False,False,Low,0.3704,,,False,False,False,,0.2963,0.5556,3,0
12,2025-11-23,GB,MIN,Home,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.5556,3,0
13,2025-11-27,GB,DET,Away,1:00 PM,4,False,False,False,Low,0.4348,,,False,False,False,,0.3478,0.5556,3,0
14,2025-12-07,GB,CHI,Home,1:00 PM,10,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.5556,2,0
15,2025-12-14,GB,DEN,Away,4:25 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.5556,2,0
16,2025-12-20,GB,CHI,Away,1:00 PM,6,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.5556,1,0
17,2025-12-28,GB,BAL,Home,1:00 PM,8,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.4878,0,0
18,2026-01-04,GB,MIN,Away,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.0,0,0
1,2025-09-07,HOU,LAR,Away,4:25 PM,7,False,False,False,Low,0.5726,,,False,False,False,,0.4581,0.7354,10,8
