week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
7,2025-10-19,NYJ,CAR,Home,1:00 PM,7,,,,Low,0.4878,,,,,,,0.4844
7,2025-10-19,PHI,MIN,Away,1:00 PM,10,,,,Medium,0.6241,,,,,,,0.5115
7,2025-10-16,PIT,CIN,Away,8:15 PM,4,,,,Low,0.5556,,,,,,,0.4479
7,2025-10-20,SEA,HOU,Home,10:00 PM,8,,,,Low,0.4878,,,,,,,0.3981
7,2025-10-19,SF,ATL,Home,8:20 PM,7,,,,Low,0.303,,,,,,,0.3218
7,2025-10-20,TB,DET,Away,7:00 PM,8,,,,Low,0.3788,,,,,,,0.3548
7,2025-10-19,TEN,NE,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.5039
7,2025-10-19,WSH,DAL,Away,4:25 PM,6,,,,Low,0.3759,,,,,,,0.348
8,2025-10-26,ATL,MIA,Home,1:00 PM,7,,,,Medium,0.5556,,,,,,,0.5014
8,2025-10-26,BAL,CHI,Home,1:00 PM,14,,,,High,0.7647,,,,,,,0.8198
8,2025-10-26,BUF,CAR,Away,1:00 PM,13,,,,Low,0.2857,,,,,,,0.3895
8,2025-10-26,CAR,BUF,Home,1:00 PM,7,,,,High,0.7561,,,,,,,0.7159
8,2025-10-26,CHI,BAL,Away,1:00 PM,7,,,,Low,0.2778,,,,,,,0.2803
8,2025-10-26,CIN,NYJ,Home,1:00 PM,10,,,,High,0.7802,,,,,,,0.7122
8,2025-10-26,CLE,NE,Away,1:00 PM,7,,,,Medium,0.7041,,,,,,,0.5853
8,2025-10-26,DAL,DEN,Away,4:25 PM,7,,,,Medium,0.6855,,,,,,,0.6051
8,2025-10-26,DEN,DAL,Home,4:25 PM,7,,,,Low,0.3571,,,,,,,0.3924
8,2025-10-26,GB,PIT,Away,8:20 PM,7,,,,Low,0.4878,,,,,,,0.4279
8,2025-10-26,HOU,SF,Home,1:00 PM,6,,,,Low,0.4878,,,,,,,0.445
8,2025-10-26,IND,TEN,Home,4:25 PM,7,,,,Medium,0.6491,,,,,,,0.623
8,2025-10-27,KC,WSH,Home,8:15 PM,8,,,,Medium,0.6721,,,,,,,0.596
8,2025-10-23,LAC,MIN,Home,8:15 PM,4,,,,Medium,0.6078,,,,,,,0.5451
8,2025-10-26,MIA,ATL,Away,1:00 PM,7,,,,Low,0.4878,,,,,,,0.3971
8,2025-10-23,MIN,LAC,Away,8:15 PM,4,,,,Low,0.4348,,,,,,,0.3567
8,2025-10-26,NE,CLE,Home,1:00 PM,7,,,,Low,0.339,,,,,,,0.3432
