week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
17,2025-12-28,HOU,LAC,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,HOU,IND,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,IND,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,IND,DEN,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,IND,TEN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,IND,LAR,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,IND,LV,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,IND,ARI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,IND,LAC,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,IND,TEN,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,IND,PIT,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,IND,ATL,Home,9:30 AM,0,False,False,False,,,,,False,False,False,,
11,,IND,BYE,Home,,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,IND,KC,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,IND,HOU,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,IND,JAX,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,IND,SEA,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-22,IND,SF,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,IND,JAX,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,IND,HOU,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,JAX,CAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,JAX,CIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,JAX,HOU,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,JAX,SF,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-06,JAX,KC,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,JAX,SEA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,JAX,LAR,Home,9:30 AM,0,False,False,False,,,,,False,False,False,,
8,,JAX,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,JAX,LV,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,JAX,HOU,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,JAX,LAC,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,JAX,ARI,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,JAX,TEN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,JAX,IND,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,JAX,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,JAX,DEN,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,JAX,IND,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,JAX,TEN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-05,KC,LAC,Away,8:00 PM,0,False,False,False,,,,,False,False,False,,
